sentence_markdown,sectionId,classifierNotes,lessonsLearned
[איזה] רחוב זה?,"Selection,Standard,Full,איזה,Canonical,Surface,Inflection,איזה,gender=Masc|number=Sing,Lemma,he,Lexeme,DET,איזה,❓,pronType=Int",איזה is an interrogative determiner rather than a pronoun because it modifies רחוב.,
[אין] מקום פנוי.,"Selection,Standard,Full,אין,Canonical,Surface,Citation,אין,Lemma,he,Lexeme,VERB,אין,❌,hebExistential=Yes","אין is the negative existential verb; its negativity is lexical here, not an inflectional polarity feature.",
[אמא] התקשרה.,"Selection,Standard,Full,אמא,Variant,Surface,Citation,אימא,Lemma,he,Lexeme,NOUN,אימא,👩,gender=Fem","This captures an accepted spelling variant: selected spelling אמא, normalized surface אימא, spellingRelation Variant.",
[אני] לא בטוחה.,"Selection,Standard,Full,אני,Canonical,Surface,Inflection,אני,number=Sing|person=1,Lemma,he,Lexeme,PRON,אני,🙋,pronType=Prs",The first-person pronoun has person and number but no gender feature.,
[בואו] לכאן.,"Selection,Standard,Full,בואו,Canonical,Surface,Inflection,בואו,mood=Imp|number=Plur|person=2,Lemma,he,Lexeme,VERB,בוא,👋,hebBinyan=PAAL",בואו is an imperative plural form with mood Imp and no tense.,
[בתי] הספר נסגרו מוקדם.,"Selection,Standard,Full,בתי,Canonical,Surface,Inflection,בתי,definite=Cons|number=Plur,Lemma,he,Lexeme,NOUN,בית,🏠,gender=Masc","בתי is the construct plural of בית, using definite Cons and number Plur.",
[ה]בית פתוח.,"Selection,Standard,Full,ה,Canonical,Surface,Citation,ה,Lemma,he,Lexeme,DET,ה,🔎,pronType=Art","The standalone article is modeled as DET with pronType Art, not as a noun definiteness feature.",
[הם] הגיעו בזמן.,"Selection,Standard,Full,הם,Canonical,Surface,Inflection,הם,gender=Masc|number=Plur|person=3,Lemma,he,Lexeme,PRON,הם,👥,pronType=Prs",הם is a third-person masculine plural pronoun.,
[הספרים] על השולחן.,"Selection,Standard,Full,הספרים,Canonical,Surface,Inflection,הספרים,definite=Def|number=Plur,Lemma,he,Lexeme,NOUN,ספר,📚,gender=Masc",This is a full selection of a definite plural noun surface.,
[ו]דנה כבר חיכתה בחוץ.,"Selection,Standard,Full,ו,Canonical,Surface,Citation,ו,Lemma,he,Morpheme,Clitic,ו,➕,",ו is modeled as a morpheme clitic rather than CCONJ to stress bound orthographic attachment.,
[חס וחלילה] שנאחר שוב.,"Selection,Standard,Full,חס וחלילה,Canonical,Surface,Citation,חס וחלילה,Lemma,he,Phraseme,Idiom,חס וחלילה,🚫,",חס וחלילה is treated as an idiom because the literal pieces are not the learner-facing meaning.,
[ירושלים] יפה בלילה.,"Selection,Standard,Full,ירושלים,Canonical,Surface,Inflection,ירושלים,number=Sing,Lemma,he,Lexeme,PROPN,ירושלים,🏙️,gender=Fem",ירושלים is a proper noun with feminine inherent gender and singular surface number.,
[יש] קפה במטבח.,"Selection,Standard,Full,יש,Canonical,Surface,Citation,יש,Lemma,he,Lexeme,VERB,יש,✅,hebExistential=Yes","יש is modeled as an existential verb, not as an adverb or particle.",
[מה נשמע] אצלכם?,"Selection,Standard,Full,מה נשמע,Canonical,Surface,Citation,מה נשמע,Lemma,he,Phraseme,DiscourseFormula,מה נשמע,💬,",The multiword greeting is modeled as one discourse-formula surface.,
"[נו], תספר כבר.","Selection,Standard,Full,נו,Canonical,Surface,Citation,נו,Lemma,he,Lexeme,INTJ,נו,🙄,",נו is kept as INTJ rather than a discourse formula because it functions as a prompting interjection.,
"[שלום], מה שלומך?","Selection,Standard,Full,שלום,Canonical,Surface,Citation,שלום,Lemma,he,Phraseme,DiscourseFormula,שלום,👋,",שלום is treated as a discourse formula rather than as the noun peace because the sentence is a greeting.,
[תודה] על העזרה.,"Selection,Standard,Full,תודה,Canonical,Surface,Citation,תודה,Lemma,he,Phraseme,DiscourseFormula,תודה,🙏,",תודה is treated as a thanks formula rather than as a standalone noun.,
[תפסת] מרובה לא תפסת.,"Selection,Standard,Partial,תפסת,Canonical,Surface,Citation,תפסת מרובה לא תפסת,Lemma,he,Phraseme,Proverb,תפסת מרובה לא תפסת,⚖️,","This is a partial selection against a proverb, not a verb attestation for תפסת.",
אין [חדש] תחת השמש.,"Selection,Standard,Partial,חדש,Canonical,Surface,Citation,אין חדש תחת השמש,Lemma,he,Phraseme,Proverb,אין חדש תחת השמש,☀️,","This is a partial selection against a proverb, not an adjective surface.",
אל [תלך] לבד.,"Selection,Standard,Full,תלך,Canonical,Surface,Inflection,תלך,gender=Masc|number=Sing|person=2|polarity=Neg|tense=Fut,Lemma,he,Lexeme,VERB,הלך,🚶,hebBinyan=PAAL",The verb carries polarity Neg because the negative-command context matters even though אל is separate.,
אמרת [ש]תבוא.,"Selection,Standard,Full,ש,Canonical,Surface,Citation,ש,Lemma,he,Morpheme,Prefix,ש,🔗,",ש is modeled as the bound complementizer or relative-marker prefix morpheme.,
אנחנו [הולכים] עכשיו.,"Selection,Standard,Full,הולכים,Canonical,Surface,Inflection,הולכים,gender=Masc|number=Plur|verbForm=Part,Lemma,he,Lexeme,VERB,הלך,🚶,hebBinyan=PAAL",Present-like verbal forms are represented as verbForm Part rather than tense Pres.,
"אפשר מים, [בבקשה]?","Selection,Standard,Full,בבקשה,Canonical,Surface,Citation,בבקשה,Lemma,he,Phraseme,DiscourseFormula,בבקשה,🤲,",בבקשה is treated as a request politeness formula despite containing the noun בקשה.,
ה[אוכל] כבר מוכן.,"Selection,Standard,Full,אוכל,Canonical,Surface,Citation,אוכל,Lemma,he,Lexeme,NOUN,אוכל,🍲,gender=Masc","אוכל is the noun food here, separated from the future-verb homograph by lemma and POS.",
"הבטיחו דרמה, אבל [לא דובים ולא יער].","Selection,Standard,Full,לא דובים ולא יער,Canonical,Surface,Citation,לא דובים ולא יער,Lemma,he,Phraseme,Idiom,לא דובים ולא יער,🫥,","לא דובים ולא יער is classified as an idiom; it is proverb-like, but used here as a fixed idiomatic denial.",
"הדו""ח [נכתב] אתמול.","Selection,Standard,Full,נכתב,Canonical,Surface,Inflection,נכתב,gender=Masc|number=Sing|person=3|tense=Past|voice=Pass,Lemma,he,Lexeme,VERB,כתב,✍️,hebBinyan=NIFAL","נכתב is the NIFAL passive-like form, so it carries voice Pass.",
