sentence_markdown,normalizedFullSurface,orthographicStatus,surfaceKind,lemmaKind,lemmaSubKind
Abso-[bloody]-lutely not.,bloody,Standard,Citation,Morpheme,Infix
"[By and large], the migration worked.",by and large,Standard,Citation,Phraseme,Idiom
Could you [wind] the old clock?,wind,Standard,Citation,Lexeme,VERB
Do it [like] I showed you.,like,Standard,Citation,Lexeme,SCONJ
[Does] this key open the archive?,does,Standard,Inflection,Lexeme,AUX
"During my [walk] in a park, I saw a squirrel.",walk,Standard,Citation,Lexeme,NOUN
"For this layout, [less is more].",less is more,Standard,Citation,Phraseme,Aphorism
I [definately] saved the file.,definitely,Typo,Citation,Lexeme,ADV
I emailed [them] yesterday.,them,Standard,Inflection,Lexeme,PRON
I know [that] you tried.,that,Standard,Citation,Lexeme,SCONJ
I [saw] the comet through binoculars.,saw,Standard,Inflection,Lexeme,VERB
"If I [were] you, I would wait.",were,Standard,Inflection,Lexeme,AUX
I'[ll] call when I arrive.,ll,Standard,Citation,Morpheme,Clitic
Is [OK] still acceptable here?,OK,Standard,Citation,Lexeme,INTJ
Mira finally [spilled] the beans.,spill the beans,Standard,Citation,Phraseme,Idiom
"Move [that] chair, please.",that,Standard,Citation,Lexeme,DET
"[My bad], I merged the wrong branch.",my bad,Standard,Citation,Phraseme,DiscourseFormula
"[No worries], I already fixed it.",no worries,Standard,Citation,Phraseme,DiscourseFormula
Please [lead] the discussion today.,lead,Standard,Citation,Lexeme,VERB
Please [look] it up before replying.,look up,Standard,Citation,Lexeme,VERB
"Remember, the [early bird] catches the worm.",the early bird catches the worm,Standard,Citation,Phraseme,Proverb
[Running] before breakfast clears my head.,running,Standard,Inflection,Lexeme,VERB
[See] you later at the station.,see you later,Standard,Citation,Phraseme,DiscourseFormula
Send the [e-mail] before noon.,e-mail,Standard,Citation,Lexeme,NOUN
She gave [up] after midnight.,up,Standard,Citation,Lexeme,PART
She performed [best] under pressure.,best,Standard,Inflection,Lexeme,ADV
Tag the issue with [#] before the number.,#,Standard,Citation,Lexeme,SYM
That answer was [un]believable.,un-,Standard,Citation,Morpheme,Prefix
[That] was unexpected.,that,Standard,Citation,Lexeme,PRON
The [bio]reactor failed overnight.,bio,Standard,Citation,Morpheme,Root
The [data] are still inconsistent.,data,Standard,Inflection,Lexeme,NOUN
The estimate was thirty[ish] minutes.,-ish,Standard,Citation,Morpheme,Suffix
The note was [written] in pencil.,written,Standard,Inflection,Lexeme,VERB
The old laptop finally [kicked] the bucket.,kick the bucket,Standard,Citation,Phraseme,Idiom
The pipe contained traces of [lead].,lead,Standard,Citation,Lexeme,NOUN
The plane will [take] off at dawn.,take off,Standard,Citation,Lexeme,VERB
The report says [COVID-ish] twice.,COVID-ish,Standard,Citation,Lexeme,X
The [saw] needs a new blade.,saw,Standard,Citation,Lexeme,NOUN
The sign advertised [acommodation] nearby.,accommodation,Typo,Citation,Lexeme,NOUN
The [Smiths] invited everyone over.,Smiths,Standard,Inflection,Lexeme,PROPN
The [twenty-first] attempt finally passed.,twenty-first,Standard,Citation,Lexeme,ADJ
The [wind] shifted before dawn.,wind,Standard,Citation,Lexeme,NOUN
These [scissors] are blunt.,scissors,Standard,Inflection,Lexeme,NOUN
[They] left their umbrella here.,they,Standard,Inflection,Lexeme,PRON
This exam was a [walk] in the park.,walk in the park,Standard,Citation,Phraseme,Idiom
This is the [better] option.,better,Standard,Inflection,Lexeme,ADJ
Use [half] the flour first.,half,Standard,Citation,Lexeme,DET
We [depend] on accurate labels.,depend on,Standard,Citation,Lexeme,VERB
[Whose] keys are these?,whose,Standard,Inflection,Lexeme,PRON
Yesterday I [read] the warning twice.,read,Standard,Inflection,Lexeme,VERB
